RowType,Schedule,BaseRowId,Delivery Order,Name,Address,City,State,ZIP,Dozens,Subscribed,Notes,Newsletter,RunId,RouteDate,ScheduleId,RunStatus,RunBaseRowId,RunDeliveryOrder,RunEntryStatus,RunDozens,RunDonationStatus,RunDonationMethod,RunDonationAmount,RunTaxableAmount,RunCompletedAt,EventDate,TotalDonation,TotalDozens,TotalDeductibleContribution
RunEntry,Week B,CUST_B2,002,Casey Frost,45 Pine Ridge Rd,Canton,SD,57013,1,TRUE,Call if running late,0,runB-2025-02-01,Week B,WeekB,completed,CUST_B2,1,delivered,1,NoDonation,,0,0,2025-02-01T09:00:00Z,2025-02-01T09:00:00Z,,,
RunEntry,Week B,CUST_B3,003,Drew Gale,710 Oak Ridge Dr,Inwood,IA,51240,4,TRUE,Store in garage fridge,1,runB-2025-02-01,Week B,WeekB,completed,CUST_B3,2,skipped,0,NotRecorded,,0,0,2025-02-01T09:00:00Z,2025-02-01T09:00:00Z,,,
RunEntry,Week B,CUST_B1,001,Blake East,200 Elm St,Canton,SD,57013,2,TRUE,Prefers early morning delivery,1,runB-2025-02-15,Week B,WeekB,completed,CUST_B1,0,delivered,2,NoDonation,,0,0,2025-02-15T09:00:00Z,2025-02-15T09:00:00Z,,,
RunEntry,Week B,CUST_B2,002,Casey Frost,45 Pine Ridge Rd,Canton,SD,57013,1,TRUE,Call if running late,0,runB-2025-02-15,Week B,WeekB,completed,CUST_B2,1,skipped,0,NotRecorded,,0,0,2025-02-15T09:00:00Z,2025-02-15T09:00:00Z,,,
RunEntry,Week B,CUST_B3,003,Drew Gale,710 Oak Ridge Dr,Inwood,IA,51240,4,TRUE,Store in garage fridge,1,runB-2025-02-15,Week B,WeekB,completed,CUST_B3,2,delivered,4,Donated,paypal,20,4,2025-02-15T09:00:00Z,2025-02-15T09:00:00Z,,,
RunEntry,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,runA-2025-01-22,Week A,WeekA,completed,CUST_A1,0,delivered,2,Donated,cash,8,0,2025-01-22T09:00:00Z,2025-01-22T09:00:00Z,,,
RunEntry,Week A,CUST_A2,002,Ben Carter,220 Oak St,Canton,SD,57013,1,TRUE,Dog in yard – latch gate,1,runA-2025-01-22,Week A,WeekA,completed,CUST_A2,1,delivered,1,NoDonation,,0,0,2025-01-22T09:00:00Z,2025-01-22T09:00:00Z,,,
RunEntry,Week A,CUST_A3,003,Cara Diaz,500 W 5th St,Canton,SD,57013,3,TRUE,Back door cooler,0,runA-2025-01-22,Week A,WeekA,completed,CUST_A3,2,delivered,3,Donated,cash,15,3,2025-01-22T09:00:00Z,2025-01-22T09:00:00Z,,,
RunEntry,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,runA-2025-02-05,Week A,WeekA,completed,CUST_A1,0,delivered,2,NoDonation,,0,0,2025-02-05T09:00:00Z,2025-02-05T09:00:00Z,,,
RunEntry,Week A,CUST_A2,002,Ben Carter,220 Oak St,Canton,SD,57013,1,TRUE,Dog in yard – latch gate,1,runA-2025-02-05,Week A,WeekA,completed,CUST_A2,1,skipped,0,NotRecorded,,0,0,2025-02-05T09:00:00Z,2025-02-05T09:00:00Z,,,
RunEntry,Week A,CUST_A3,003,Cara Diaz,500 W 5th St,Canton,SD,57013,3,TRUE,Back door cooler,0,runA-2025-02-05,Week A,WeekA,completed,CUST_A3,2,delivered,3,Donated,paypal,24,12,2025-02-05T09:00:00Z,2025-02-05T09:00:00Z,,,
RunEntry,Week B,CUST_B1,001,Blake East,200 Elm St,Canton,SD,57013,2,TRUE,Prefers early morning delivery,1,runB-2025-03-01,Week B,WeekB,completed,CUST_B1,0,delivered,2,Donated,cash,8,0,2025-03-01T09:00:00Z,2025-03-01T09:00:00Z,,,
RunEntry,Week B,CUST_B2,002,Casey Frost,45 Pine Ridge Rd,Canton,SD,57013,1,TRUE,Call if running late,0,runB-2025-03-01,Week B,WeekB,completed,CUST_B2,1,delivered,1,Donated,cash,5,1,2025-03-01T09:00:00Z,2025-03-01T09:00:00Z,,,
RunEntry,Week B,CUST_B3,003,Drew Gale,710 Oak Ridge Dr,Inwood,IA,51240,4,TRUE,Store in garage fridge,1,runB-2025-03-01,Week B,WeekB,completed,CUST_B3,2,delivered,4,NoDonation,,0,0,2025-03-01T09:00:00Z,2025-03-01T09:00:00Z,,,
RunEntry,Week B,CUST_B1,001,Blake East,200 Elm St,Canton,SD,57013,2,TRUE,Prefers early morning delivery,1,runB-2025-03-15,Week B,WeekB,completed,CUST_B1,0,skipped,0,NotRecorded,,0,0,2025-03-15T09:00:00Z,2025-03-15T09:00:00Z,,,
RunEntry,Week B,CUST_B2,002,Casey Frost,45 Pine Ridge Rd,Canton,SD,57013,1,TRUE,Call if running late,0,runB-2025-03-15,Week B,WeekB,completed,CUST_B2,1,delivered,1,Donated,paypal,4,0,2025-03-15T09:00:00Z,2025-03-15T09:00:00Z,,,
RunEntry,Week B,CUST_B3,003,Drew Gale,710 Oak Ridge Dr,Inwood,IA,51240,4,TRUE,Store in garage fridge,1,runB-2025-03-15,Week B,WeekB,completed,CUST_B3,2,delivered,4,Donated,ach,24,8,2025-03-15T09:00:00Z,2025-03-15T09:00:00Z,,,
RunEntry,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,runA-2025-03-05,Week A,WeekA,completed,CUST_A1,0,delivered,2,Donated,other,12,4,2025-03-05T09:00:00Z,2025-03-05T09:00:00Z,,,
RunEntry,Week A,CUST_A2,002,Ben Carter,220 Oak St,Canton,SD,57013,1,TRUE,Dog in yard – latch gate,1,runA-2025-03-05,Week A,WeekA,completed,CUST_A2,1,donation,0,Donated,cash,20,20,2025-03-05T09:00:00Z,2025-03-05T09:00:00Z,,,
RunEntry,Week A,CUST_A3,003,Cara Diaz,500 W 5th St,Canton,SD,57013,3,TRUE,Back door cooler,0,runA-2025-03-05,Week A,WeekA,completed,CUST_A3,2,skipped,0,NoDonation,,0,0,2025-03-05T09:00:00Z,2025-03-05T09:00:00Z,,,
RunEntry,Week B,CUST_B1,001,Blake East,200 Elm St,Canton,SD,57013,2,TRUE,Prefers early morning delivery,1,runB-2025-04-01,Week B,WeekB,endedEarly,CUST_B1,0,delivered,2,Donated,venmo,10,2,2025-04-01T09:00:00Z,2025-04-01T09:00:00Z,,,
RunEntry,Week B,CUST_B2,002,Casey Frost,45 Pine Ridge Rd,Canton,SD,57013,1,TRUE,Call if running late,0,runB-2025-04-01,Week B,WeekB,endedEarly,CUST_B2,1,skipped,0,NotRecorded,,0,0,2025-04-01T09:00:00Z,2025-04-01T09:00:00Z,,,
RunEntry,Week B,CUST_B3,003,Drew Gale,710 Oak Ridge Dr,Inwood,IA,51240,4,TRUE,Store in garage fridge,1,runB-2025-04-01,Week B,WeekB,endedEarly,CUST_B3,2,donation,0,Donated,other,15,15,2025-04-01T09:00:00Z,2025-04-01T09:00:00Z,,,
OneOffDonation,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,,,,,,,,,0,Donated,cash,20,8,,2025-02-10T10:00:00Z,,,
OneOffDelivery,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,,,,,,,,,1,Donated,venmo,4,0,,2025-02-12T10:00:00Z,,,
OneOffDonation,Week A,CUST_A3,003,Cara Diaz,500 W 5th St,Canton,SD,57013,3,TRUE,Back door cooler,0,,,,,,,,,0,Donated,ach,30,6,,2025-02-20T10:00:00Z,,,
OneOffDonation,Week B,CUST_B2,002,Casey Frost,45 Pine Ridge Rd,Canton,SD,57013,1,TRUE,Call if running late,0,,,,,,,,,0,Donated,cash,10,6,,2025-03-05T10:00:00Z,,,
OneOffDonation,Week B,CUST_B2,002,Casey Frost,45 Pine Ridge Rd,Canton,SD,57013,1,TRUE,Call if running late,0,,,,,,,,,0,Donated,other,5,1,,2025-03-10T10:00:00Z,,,
Delivery,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,,,,,,,,,,,,,,,42.00,5,10.00
Delivery,Week A,CUST_A2,002,Ben Carter,220 Oak St,Canton,SD,57013,1,TRUE,Dog in yard – latch gate,1,,,,,,,,,,,,,,,5.00,2,1.00
Delivery,Week A,CUST_A3,003,Cara Diaz,500 W 5th St,Canton,SD,57013,3,TRUE,Back door cooler,0,,,,,,,,,,,,,,,60.00,6,12.00
Delivery,Week B,CUST_B1,001,Blake East,200 Elm St,Canton,SD,57013,2,TRUE,Prefers early morning delivery,1,,,,,,,,,,,,,,,8.00,5,0.00
Delivery,Week B,CUST_B2,002,Casey Frost,45 Pine Ridge Rd,Canton,SD,57013,1,TRUE,Call if running late,0,,,,,,,,,,,,,,,15.00,2,7.00
Delivery,Week B,CUST_B3,003,Drew Gale,710 Oak Ridge Dr,Inwood,IA,51240,4,TRUE,Store in garage fridge,1,,,,,,,,,,,,,,,20.00,4,4.00
RunEntry,Week C,CUST_C1,001,Emma Hill,12 Sunrise Ct,Canton,SD,57013,1,TRUE,Leave at side door,0,runC-2025-01-10,Week C,WeekC,completed,CUST_C1,0,delivered,1,Donated,cash,4,0,2025-01-10T08:30:00Z,2025-01-10T08:30:00Z,,,
RunEntry,Week C,CUST_C2,002,Fred Ivy,33 Sunset Blvd,Canton,SD,57013,2,TRUE,Ring doorbell,1,runC-2025-01-10,Week C,WeekC,completed,CUST_C2,1,delivered,2,NoDonation,,0,0,2025-01-10T08:30:00Z,2025-01-10T08:30:00Z,,,
RunEntry,Week C,CUST_C3,003,Gina Jones,77 Maple Ave,Canton,SD,57013,3,TRUE,Dog in yard,0,runC-2025-01-10,Week C,WeekC,completed,CUST_C3,2,skipped,0,NotRecorded,,0,0,2025-01-10T08:30:00Z,2025-01-10T08:30:00Z,,,
RunEntry,Week C,CUST_C1,001,Emma Hill,12 Sunrise Ct,Canton,SD,57013,1,TRUE,Leave at side door,0,runC-2025-01-24,Week C,WeekC,completed,CUST_C1,0,delivered,1,NoDonation,,0,0,2025-01-24T08:30:00Z,2025-01-24T08:30:00Z,,,
RunEntry,Week C,CUST_C2,002,Fred Ivy,33 Sunset Blvd,Canton,SD,57013,2,TRUE,Ring doorbell,1,runC-2025-01-24,Week C,WeekC,completed,CUST_C2,1,donation,0,Donated,venmo,12,12,2025-01-24T08:30:00Z,2025-01-24T08:30:00Z,,,
RunEntry,Week C,CUST_C3,003,Gina Jones,77 Maple Ave,Canton,SD,57013,3,TRUE,Dog in yard,0,runC-2025-01-24,Week C,WeekC,completed,CUST_C3,2,delivered,3,Donated,cash,12,0,2025-01-24T08:30:00Z,2025-01-24T08:30:00Z,,,
RunEntry,Week C,CUST_C1,001,Emma Hill,12 Sunrise Ct,Canton,SD,57013,1,TRUE,Leave at side door,0,runC-2025-02-07,Week C,WeekC,completed,CUST_C1,0,skipped,0,NoDonation,,0,0,2025-02-07T08:30:00Z,2025-02-07T08:30:00Z,,,
RunEntry,Week C,CUST_C2,002,Fred Ivy,33 Sunset Blvd,Canton,SD,57013,2,TRUE,Ring doorbell,1,runC-2025-02-07,Week C,WeekC,completed,CUST_C2,1,delivered,2,Donated,paypal,14,6,2025-02-07T08:30:00Z,2025-02-07T08:30:00Z,,,
RunEntry,Week C,CUST_C3,003,Gina Jones,77 Maple Ave,Canton,SD,57013,3,TRUE,Dog in yard,0,runC-2025-02-07,Week C,WeekC,completed,CUST_C3,2,delivered,3,NoDonation,,0,0,2025-02-07T08:30:00Z,2025-02-07T08:30:00Z,,,
OneOffDonation,Week C,CUST_C2,002,Fred Ivy,33 Sunset Blvd,Canton,SD,57013,2,TRUE,Ring doorbell,1,,,,,,,,,0,Donated,cash,25,9,,2025-02-10T11:00:00Z,,,
OneOffDelivery,Week C,CUST_C3,003,Gina Jones,77 Maple Ave,Canton,SD,57013,3,TRUE,Dog in yard,0,,,,,,,,,2,Donated,cash,8,2,,2025-02-12T11:00:00Z,,,
RunEntry,Week D,CUST_D1,001,Henry King,15 River Rd,Harrisburg,SD,57032,2,TRUE,Gate code 1234,1,runD-2025-01-05,Week D,WeekD,completed,CUST_D1,0,delivered,2,Donated,cash,8,0,2025-01-05T08:00:00Z,2025-01-05T08:00:00Z,,,
RunEntry,Week D,CUST_D2,002,Ivy Lane,44 Brook St,Harrisburg,SD,57032,1,TRUE,Leave on step,0,runD-2025-01-05,Week D,WeekD,completed,CUST_D2,1,delivered,1,NoDonation,,0,0,2025-01-05T08:00:00Z,2025-01-05T08:00:00Z,,,
RunEntry,Week D,CUST_D3,003,Jack Moss,90 Cedar Ct,Harrisburg,SD,57032,3,TRUE,Back porch,1,runD-2025-01-05,Week D,WeekD,completed,CUST_D3,2,skipped,0,NotRecorded,,0,0,2025-01-05T08:00:00Z,2025-01-05T08:00:00Z,,,
RunEntry,Week D,CUST_D1,001,Henry King,15 River Rd,Harrisburg,SD,57032,2,TRUE,Gate code 1234,1,runD-2025-01-19,Week D,WeekD,completed,CUST_D1,0,delivered,2,NoDonation,,0,0,2025-01-19T08:00:00Z,2025-01-19T08:00:00Z,,,
RunEntry,Week D,CUST_D2,002,Ivy Lane,44 Brook St,Harrisburg,SD,57032,1,TRUE,Leave on step,0,runD-2025-01-19,Week D,WeekD,completed,CUST_D2,1,donation,0,Donated,ach,18,18,2025-01-19T08:00:00Z,2025-01-19T08:00:00Z,,,
RunEntry,Week D,CUST_D3,003,Jack Moss,90 Cedar Ct,Harrisburg,SD,57032,3,TRUE,Back porch,1,runD-2025-01-19,Week D,WeekD,completed,CUST_D3,2,delivered,3,Donated,cash,12,0,2025-01-19T08:00:00Z,2025-01-19T08:00:00Z,,,
RunEntry,Week D,CUST_D1,001,Henry King,15 River Rd,Harrisburg,SD,57032,2,TRUE,Gate code 1234,1,runD-2025-02-02,Week D,WeekD,completed,CUST_D1,0,skipped,0,NoDonation,,0,0,2025-02-02T08:00:00Z,2025-02-02T08:00:00Z,,,
RunEntry,Week D,CUST_D2,002,Ivy Lane,44 Brook St,Harrisburg,SD,57032,1,TRUE,Leave on step,0,runD-2025-02-02,Week D,WeekD,completed,CUST_D2,1,delivered,1,Donated,paypal,6,2,2025-02-02T08:00:00Z,2025-02-02T08:00:00Z,,,
RunEntry,Week D,CUST_D3,003,Jack Moss,90 Cedar Ct,Harrisburg,SD,57032,3,TRUE,Back porch,1,runD-2025-02-02,Week D,WeekD,completed,CUST_D3,2,delivered,3,NoDonation,,0,0,2025-02-02T08:00:00Z,2025-02-02T08:00:00Z,,,
OneOffDonation,Week D,CUST_D1,001,Henry King,15 River Rd,Harrisburg,SD,57032,2,TRUE,Gate code 1234,1,,,,,,,,,0,Donated,cash,30,14,,2025-02-10T12:00:00Z,,,
OneOffDonation,Week D,CUST_D3,003,Jack Moss,90 Cedar Ct,Harrisburg,SD,57032,3,TRUE,Back porch,1,,,,,,,,,0,Donated,venmo,12,0,,2025-02-15T12:00:00Z,,,
Delivery,Week C,CUST_C1,001,Emma Hill,12 Sunrise Ct,Canton,SD,57013,1,TRUE,Leave at side door,0,,,,,,,,,,,,,,,18.00,3,6.00
Delivery,Week C,CUST_C2,002,Fred Ivy,33 Sunset Blvd,Canton,SD,57013,2,TRUE,Ring doorbell,1,,,,,,,,,,,,,,,37.00,4,17.00
Delivery,Week C,CUST_C3,003,Gina Jones,77 Maple Ave,Canton,SD,57013,3,TRUE,Dog in yard,0,,,,,,,,,,,,,,,20.00,3,5.00
Delivery,Week D,CUST_D1,001,Henry King,15 River Rd,Harrisburg,SD,57032,2,TRUE,Gate code 1234,1,,,,,,,,,,,,,,,46.00,4,14.00
Delivery,Week D,CUST_D2,002,Ivy Lane,44 Brook St,Harrisburg,SD,57032,1,TRUE,Leave on step,0,,,,,,,,,,,,,,,39.00,3,21.00
Delivery,Week D,CUST_D3,003,Jack Moss,90 Cedar Ct,Harrisburg,SD,57032,3,TRUE,Back porch,1,,,,,,,,,,,,,,,16.00,3,4.00
